# OWASP ZAP scan rules for Cloud Gallery
# Format: <id>\t<action>\t<parameter>
# Actions: IGNORE, WARN, FAIL
# Reference: https://www.zaproxy.org/docs/docker/baseline-scan/

# Information Disclosure – Server Version
10036	WARN

# Content Security Policy (CSP) Header Not Set
10038	WARN

# X-Frame-Options Header Not Set
10020	WARN

# Absence of Anti-CSRF Tokens
10202	WARN

# Cookie Without Secure Flag
10011	WARN

# Cookie Without SameSite Attribute
10054	WARN

# Missing Anti-clickjacking Header
10020	WARN

# Application Error Disclosure
90022	FAIL

# SQL Injection
40018	FAIL

# Cross Site Scripting (Reflected)
40012	FAIL

# Cross Site Scripting (Persistent)
40014	FAIL

# Path Traversal
6	FAIL

# Remote OS Command Injection
20018	FAIL

# External Redirect
20019	FAIL

# HTTPS Content Available via HTTP
10035	WARN
